,score,word,sent,position,listener,talker,talker_gend,snr
0,1,pot,02-06,1,NWF154,NWM083,M,2
1,1,tea,02-06,2,NWF154,NWM083,M,2
2,1,helps,02-06,3,NWF154,NWM083,M,2
3,1,pass,02-06,4,NWF154,NWM083,M,2
4,1,evening,02-06,5,NWF154,NWM083,M,2
5,1,add,19-06,1,NWF153,NWF142,F,-2
6,1,column,19-06,2,NWF153,NWF142,F,-2
7,1,put,19-06,3,NWF153,NWF142,F,-2
8,1,sum,19-06,4,NWF153,NWF142,F,-2
9,1,here,19-06,5,NWF153,NWF142,F,-2
10,1,baby,70-06,1,NAM011,NWF136,F,-4
11,1,puts,70-06,2,NAM011,NWF136,F,-4
12,1,right,70-06,3,NAM011,NWF136,F,-4
13,1,foot,70-06,4,NAM011,NWF136,F,-4
14,0,mouth,70-06,5,NAM011,NWF136,F,-4
15,1,add,19-06,1,NWF148,NWF142,F,-2
16,0,column,19-06,2,NWF148,NWF142,F,-2
17,0,put,19-06,3,NWF148,NWF142,F,-2
18,0,sum,19-06,4,NWF148,NWF142,F,-2
19,0,here,19-06,5,NWF148,NWF142,F,-2
20,1,gold,30-02,1,NAM014,NWM001,M,2
21,1,ring,30-02,2,NAM014,NWM001,M,2
22,1,fits,30-02,3,NAM014,NWM001,M,2
23,1,pierced,30-02,4,NAM014,NWM001,M,2
24,1,ear,30-02,5,NAM014,NWM001,M,2
25,1,two,08-02,1,NAF013,NWM077,M,-2
26,1,met,08-02,2,NAF013,NWM077,M,-2
27,1,while,08-02,3,NAF013,NWM077,M,-2
28,1,playing,08-02,4,NAF013,NWM077,M,-2
29,1,sand,08-02,5,NAF013,NWM077,M,-2
30,1,aim,66-05,1,NAF007,NWM083,M,-2
31,1,contest,66-05,2,NAF007,NWM083,M,-2
32,1,raise,66-05,3,NAF007,NWM083,M,-2
33,0,great,66-05,4,NAF007,NWM083,M,-2
34,0,fund,66-05,5,NAF007,NWM083,M,-2
35,1,small,72-05,1,NAM012,NWM001,M,2
36,1,children,72-05,2,NAM012,NWM001,M,2
37,0,came,72-05,3,NAM012,NWM001,M,2
38,1,see,72-05,4,NAM012,NWM001,M,2
39,0,him,72-05,5,NAM012,NWM001,M,2
40,1,wrote,55-02,1,NAM005,NWM082,M,-2
41,1,name,55-02,2,NAM005,NWM082,M,-2
42,1,boldly,55-02,3,NAM005,NWM082,M,-2
43,0,top,55-02,4,NAM005,NWM082,M,-2
44,0,sheet,55-02,5,NAM005,NWM082,M,-2
45,1,told,49-08,1,NAF007,NWM077,M,-4
46,0,wild,49-08,2,NAF007,NWM077,M,-4
47,1,tales,49-08,3,NAF007,NWM077,M,-4
48,0,frighten,49-08,4,NAF007,NWM077,M,-4
49,0,him,49-08,5,NAF007,NWM077,M,-4
50,0,abrupt,17-05,1,NAM012,NWM077,M,-4
51,0,start,17-05,2,NAM012,NWM077,M,-4
52,0,not,17-05,3,NAM012,NWM077,M,-4
53,0,win,17-05,4,NAM012,NWM077,M,-4
54,0,prize,17-05,5,NAM012,NWM077,M,-4
55,1,feed,37-01,1,NAM011,NWM080,M,2
56,1,white,37-01,2,NAM011,NWM080,M,2
57,1,mouse,37-01,3,NAM011,NWM080,M,2
58,1,flower,37-01,4,NAM011,NWM080,M,2
59,1,seeds,37-01,5,NAM011,NWM080,M,2
60,0,fly,22-03,1,NAM010,NWM079,M,-2
61,0,made,22-03,2,NAM010,NWM079,M,-2
62,0,way,22-03,3,NAM010,NWM079,M,-2
63,1,along,22-03,4,NAM010,NWM079,M,-2
64,1,wall,22-03,5,NAM010,NWM079,M,-2
65,1,ten,10-09,1,NAF011,NWM085,M,2
66,0,pins,10-09,2,NAF011,NWM085,M,2
67,1,set,10-09,3,NAF011,NWM085,M,2
68,1,in,10-09,4,NAF011,NWM085,M,2
69,1,order,10-09,5,NAF011,NWM085,M,2
70,1,drop,45-08,1,NAF016,NWM055,M,-4
71,1,ashes,45-08,2,NAF016,NWM055,M,-4
72,0,worn,45-08,3,NAF016,NWM055,M,-4
73,0,old,45-08,4,NAF016,NWM055,M,-4
74,0,rug,45-08,5,NAF016,NWM055,M,-4
75,1,sofa,16-10,1,NAM014,NWM084,M,0
76,1,cushion,16-10,2,NAM014,NWM084,M,0
77,1,red,16-10,3,NAM014,NWM084,M,0
78,1,light,16-10,4,NAM014,NWM084,M,0
79,1,weight,16-10,5,NAM014,NWM084,M,0
80,1,bring,14-06,1,NWF153,NWF003,F,0
81,1,your,14-06,2,NWF153,NWF003,F,0
82,1,problems,14-06,3,NWF153,NWF003,F,0
83,1,wise,14-06,4,NWF153,NWF003,F,0
84,1,chief,14-06,5,NWF153,NWF003,F,0
85,1,down,55-04,1,NAF010,NWM005,M,2
86,1,road,55-04,2,NAF010,NWM005,M,2
87,0,way,55-04,3,NAF010,NWM005,M,2
88,0,grain,55-04,4,NAF010,NWM005,M,2
89,0,farmer,55-04,5,NAF010,NWM005,M,2
90,1,cone,40-10,1,NWM090,NWM085,M,2
91,1,costs,40-10,2,NWM090,NWM085,M,2
92,1,five,40-10,3,NWM090,NWM085,M,2
93,1,cents,40-10,4,NWM090,NWM085,M,2
94,1,mondays,40-10,5,NWM090,NWM085,M,2
95,1,high,27-07,1,NWF150,NWF137,F,-4
96,1,seats,27-07,2,NWF150,NWF137,F,-4
97,1,best,27-07,3,NWF150,NWF137,F,-4
98,0,football,27-07,4,NWF150,NWF137,F,-4
99,0,fans,27-07,5,NWF150,NWF137,F,-4
100,0,round,67-06,1,NAM011,NWM001,M,-2
101,0,mat,67-06,2,NAM011,NWM001,M,-2
102,1,cover,67-06,3,NAM011,NWM001,M,-2
103,0,dull,67-06,4,NAM011,NWM001,M,-2
104,0,spot,67-06,5,NAM011,NWM001,M,-2
105,1,beam,31-03,1,NWF152,NWM077,M,2
106,1,dropped,31-03,2,NWF152,NWM077,M,2
107,1,down,31-03,3,NWF152,NWM077,M,2
108,1,workman's,31-03,4,NWF152,NWM077,M,2
109,1,head,31-03,5,NWF152,NWM077,M,2
110,1,roads,39-04,1,NAF007,NWM086,M,0
111,0,paved,39-04,2,NAF007,NWM086,M,0
112,1,with,39-04,3,NAF007,NWM086,M,0
113,1,sticky,39-04,4,NAF007,NWM086,M,0
114,0,tar,39-04,5,NAF007,NWM086,M,0
115,1,curtain,71-06,1,NAM014,NWF140,F,0
116,1,rose,71-06,2,NAM014,NWF140,F,0
117,1,show,71-06,3,NAM014,NWF140,F,0
118,1,was,71-06,4,NAM014,NWF140,F,0
119,1,on,71-06,5,NAM014,NWF140,F,0
120,0,he,71-08,1,NWF150,NWM085,M,-4
121,0,sent,71-08,2,NWF150,NWM085,M,-4
122,0,boy,71-08,3,NWF150,NWM085,M,-4
123,1,short,71-08,4,NWF150,NWM085,M,-4
124,0,errand,71-08,5,NWF150,NWM085,M,-4
125,1,press,53-01,1,NAF016,NWF008,F,2
126,1,pedal,53-01,2,NAF016,NWF008,F,2
127,1,with,53-01,3,NAF016,NWF008,F,2
128,1,left,53-01,4,NAF016,NWF008,F,2
129,1,foot,53-01,5,NAF016,NWF008,F,2
130,0,beam,31-03,1,NAM012,NWM083,M,-2
131,1,dropped,31-03,2,NAM012,NWM083,M,-2
132,1,down,31-03,3,NAM012,NWM083,M,-2
133,0,workman's,31-03,4,NAM012,NWM083,M,-2
134,1,head,31-03,5,NAM012,NWM083,M,-2
135,1,pushed,24-02,1,NAM014,NWM080,M,2
136,1,back,24-02,2,NAM014,NWM080,M,2
137,0,each,24-02,3,NAM014,NWM080,M,2
138,1,time,24-02,4,NAM014,NWM080,M,2
139,0,attack,24-02,5,NAM014,NWM080,M,2
140,0,young,04-08,1,NWF153,NWM004,M,-2
141,0,girl,04-08,2,NWF153,NWM004,M,-2
142,0,gave,04-08,3,NWF153,NWM004,M,-2
143,0,clear,04-08,4,NWF153,NWM004,M,-2
144,0,response,04-08,5,NWF153,NWM004,M,-2
145,1,pot,02-06,1,NAM013,NWF004,F,-2
146,1,tea,02-06,2,NAM013,NWF004,F,-2
147,1,helps,02-06,3,NAM013,NWF004,F,-2
148,1,pass,02-06,4,NAM013,NWF004,F,-2
149,1,evening,02-06,5,NAM013,NWF004,F,-2
150,1,tree,15-07,1,NAF016,NWM084,M,-4
151,1,top,15-07,2,NAF016,NWM084,M,-4
152,0,waved,15-07,3,NAF016,NWM084,M,-4
153,0,graceful,15-07,4,NAF016,NWM084,M,-4
154,0,way,15-07,5,NAF016,NWM084,M,-4
155,1,add,25-04,1,NAM010,NWF009,F,0
156,1,salt,25-04,2,NAM010,NWF009,F,0
157,1,before,25-04,3,NAM010,NWF009,F,0
158,0,fry,25-04,4,NAM010,NWF009,F,0
159,1,egg,25-04,5,NAM010,NWF009,F,0
160,1,add,11-05,1,NAF011,NWF002,F,-2
